text,true_label,predicted,correct
Airtel your bill of Rs 399 for April 2024 is generated due date 10-May-2024,ham,ham,True
Amazon your order 123-456-789 has been shipped expected delivery 05-May-2024,ham,ham,True
Flipkart your order is out for delivery today between 10 AM and 2 PM,ham,ham,True
ICICI Bank your FD of Rs 50000 has matured amount credited to your account,ham,ham,True
"Your PF balance is Rs 1,25,000 as on 31-Mar-2024 for details visit epfindia.gov.",ham,ham,True
GST return filing reminder your GSTR-3B for April 2024 is due on 20-May-2024,ham,ham,True
Your passport application status updated visit passportindia.gov.in for details,ham,ham,True
NSDL your PAN card has been dispatched tracking ID 1234567890,ham,ham,True
Swiggy your order from Dominos is on the way estimated delivery 30 minutes,ham,ham,True
Zomato your order has been picked up by delivery partner estimated 25 minutes,ham,ham,True
Ola your ride has been booked driver Ramesh is 3 minutes away,ham,ham,True
Uber your trip receipt Rs 250 from Connaught Place to Saket on 01-May-2024,ham,ham,True
NEFT transfer of Rs 25000 to Axis Bank account successful Ref No NEFT123456,ham,ham,True
Your SIP of Rs 5000 in HDFC Midcap Fund processed on 01-May-2024,ham,ham,True
Income Tax refund of Rs 3500 for AY 2023-24 credited to your bank account,ham,spam,False
Your driving licence renewal application received Ref DL-2024-XXXXX,ham,ham,True
BSNL your broadband bill of Rs 599 for April 2024 is due on 15-May,ham,ham,True
Your LIC premium of Rs 12000 for policy 123456789 is due on 28-May-2024,ham,ham,True
PhonePe Rs 1500 paid to Reliance Fresh on 01-May-2024 at 11 30 AM,ham,ham,True
Google Pay Rs 500 sent to Rahul Kumar on 01-May-2024 Txn ID GP123456,ham,ham,True
Your CIBIL score is 750 as on 01-May-2024 for details visit cibil.com,ham,ham,True
Axis Bank your home loan EMI of Rs 25000 debited on 05-May-2024,ham,ham,True
Your Aadhaar biometric update is successful Ref UIDAI-BIO-2024-XXXXX,ham,ham,True
IRCTC your refund of Rs 1200 for cancelled ticket PNR 9876543210 processed,ham,ham,True
Your DigiLocker document Aadhaar Card has been successfully linked,ham,ham,True
EPFO your PF withdrawal of Rs 50000 has been processed to your bank account,ham,ham,True
Your vehicle insurance renewal for MH-01-AB-1234 is due on 15-May-2024,ham,ham,True
Kotak Bank your savings account interest of Rs 1250 credited for April 2024,ham,ham,True
Your mutual fund redemption of Rs 25000 from SBI Bluechip Fund processed,ham,ham,True
HDFC Life your premium receipt for policy 12345678 Rs 15000 on 01-May-2024,ham,ham,True
Your Fastag account recharged Rs 500 balance now Rs 750 Txn ID FT123456,ham,ham,True
Reliance Jio your data pack of 2GB activated valid for 1 day,ham,ham,True
Your UAN 123456789012 is activated for EPFO services visit epfindia.gov.in,ham,ham,True
SBI your fixed deposit of Rs 1 lakh matured interest Rs 7500 credited,ham,ham,True
Your Voter ID card application status updated visit nvsp.in for details,ham,ham,True
NSDL e-TDS your TDS certificate Form 16 is available for download,ham,ham,True
Your health insurance claim of Rs 45000 for Apollo Hospital approved,ham,ham,True
Canara Bank your account statement for April 2024 is ready download at canaraban,ham,ham,True
Your Aadhaar card download link valid for 24 hours visit uidai.gov.in,ham,ham,True
IRCTC your Tatkal ticket booking for Train 12345 on 05-May-2024 confirmed,ham,ham,True
Your PAN card application status Ref 1234567890 under processing,ham,ham,True
BPCL your LPG cylinder booking confirmed delivery in 2-3 working days,ham,ham,True
Your electricity meter reading for April 2024 units consumed 245 bill Rs 1450,ham,ham,True
