text,true_label,predicted,correct
Yup... Ok i go home look at the timings then i msg ü again... Xuhui going to lea,ham,ham,True
"Oops, I'll let you know when my roommate's done",ham,ham,True
I see the letter B on my car,ham,ham,True
Anything lor... U decide...,ham,ham,True
Hello! How's you and how did saturday go? I was just texting to see if you'd dec,ham,ham,True
Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abio,ham,ham,True
"Did I forget to tell you ? I want you , I need you, I crave you ... But most of ",ham,ham,True
07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms,spam,ham,False
WHO ARE YOU SEEING?,ham,ham,True
Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,ham,ham,True
No calls..messages..missed calls,ham,ham,True
Didn't you get hep b immunisation in nigeria.,ham,ham,True
"Fair enough, anything going on?",ham,ham,True
"Yeah hopefully, if tyler can't do it I could maybe ask around a bit",ham,ham,True
U don't know how stubborn I am. I didn't even want to go to the hospital. I kept,ham,ham,True
What you thinked about me. First time you saw me in class.,ham,ham,True
"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets y",ham,ham,True
K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,ham,ham,True
Wow. I never realized that you were so embarassed by your accomodations. I thoug,ham,ham,True
SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. C,spam,ham,False
Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,ham,ham,True
Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Sup,spam,ham,False
"Sorry, I'll call later in meeting.",ham,ham,True
Tell where you reached,ham,ham,True
Yes..gauti and sehwag out of odi series.,ham,ham,True
Your gonna have to pick up a $1 burger for yourself on your way home. I can't ev,ham,ham,True
Ha ha ha good joke. Girls are situation seekers.,ham,ham,True
Its a part of checking IQ,ham,ham,True
"Sorry my roommates took forever, it ok if I come by now?",ham,ham,True
Ok lar i double check wif da hair dresser already he said wun cut v short. He sa,ham,ham,True
"As a valued customer, I am pleased to advise you that following recent review of",spam,ham,False
"Today is ""song dedicated day.."" Which song will u dedicate for me? Send this to ",ham,ham,True
"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or £1000.",spam,ham,False
"Did you hear about the new ""Divorce Barbie""? It comes with all of Ken's stuff!",spam,ham,False
I plane to give on this month end.,ham,ham,True
Wah lucky man... Then can save money... Hee...,ham,ham,True
Finished class where are you.,ham,ham,True
HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,ham,ham,True
K..k:)where are you?how did you performed?,ham,ham,True
U can call me now...,ham,ham,True
I am waiting machan. Call me once you free.,ham,ham,True
Thats cool. i am a gentleman and will treat you with dignity and respect.,ham,ham,True
I like you peoples very much:) but am very shy pa.,ham,ham,True
Does not operate after  &lt;#&gt;  or what,ham,ham,True
Its not the same here. Still looking for a job. How much do Ta's earn there.,ham,ham,True
"Sorry, I'll call later",ham,ham,True
K. Did you call me just now ah?,ham,ham,True
Ok i am on the way to home hi hi,ham,ham,True
You will be in the place of that man,ham,ham,True
Yup next stop.,ham,ham,True
"I call you later, don't have network. If urgnt, sms me.",ham,ham,True
For real when u getting on yo? I only need 2 more tickets and one more jacket an,ham,ham,True
Yes I started to send requests to make it but pain came back so I'm back in bed.,ham,ham,True
I'm really not up to it still tonight babe,ham,ham,True
"Ela kano.,il download, come wen ur free..",ham,ham,True
Yeah do! Don‘t stand to close tho- you‘ll catch something!,ham,ham,True
Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in,ham,ham,True
Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when su,ham,ham,True
Please call our customer service representative on 0800 169 6031 between 10am-9p,spam,spam,True
Havent planning to buy later. I check already lido only got 530 show in e aftern,ham,ham,True
"Your free ringtone is waiting to be collected. Simply text the password ""MIX"" to",spam,ham,False
Watching telugu movie..wat abt u?,ham,ham,True
i see. When we finish we have loads of loans to pay,ham,ham,True
Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hair,ham,ham,True
I see a cup of coffee animation,ham,ham,True
Please don't text me anymore. I have nothing else to say.,ham,ham,True
Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams x,ham,ham,True
I'm still looking for a car to buy. And have not gone 4the driving test yet.,ham,ham,True
As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been ,ham,ham,True
wow. You're right! I didn't mean to do that. I guess once i gave up on boston me,ham,ham,True
Umma my life and vava umma love you lot dear,ham,ham,True
Thanks a lot for your wishes on my birthday. Thanks you for making my birthday t,ham,ham,True
"Aight, I'll hit you up when I get some cash",ham,ham,True
How would my ip address test that considering my computer isn't a minecraft serv,ham,ham,True
I know! Grumpy old people. My mom was like you better not be lying. Then again I,ham,ham,True
Dont worry. I guess he's busy.,ham,ham,True
What is the plural of the noun research?,ham,ham,True
Going for dinner.msg you after.,ham,ham,True
I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u sa,ham,ham,True
GENT! We are trying to contact you. Last weekends draw shows that you won a £100,spam,spam,True
"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too",ham,ham,True
"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She ",ham,ham,True
You are a winner U have been specially selected 2 receive £1000 or a 4* holiday ,spam,ham,False
Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed!,ham,ham,True
Hmm...my uncle just informed me that he's paying the school directly. So pls buy,ham,ham,True
PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus ,spam,spam,True
URGENT! Your Mobile No. was awarded £2000 Bonus Caller Prize on 5/9/03 This is o,spam,spam,True
here is my new address -apples&pairs&all that malarky,ham,ham,True
Todays Voda numbers ending 7548 are selected to receive a $350 award. If you hav,spam,ham,False
I am going to sao mu today. Will be done only at 12,ham,ham,True
Ü predict wat time ü'll finish buying?,ham,ham,True
"Good stuff, will do.",ham,ham,True
"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not ",ham,ham,True
Are you there in room.,ham,ham,True
HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME ,ham,ham,True
K..k:)how much does it cost?,ham,ham,True
I'm home.,ham,ham,True
"Dear, will call Tmorrow.pls accomodate.",ham,ham,True
First answer my question.,ham,ham,True
Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Alga,spam,ham,False
Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join ,spam,ham,False
I only haf msn. It's yijue@hotmail.com,ham,ham,True
He is there. You call and meet him,ham,ham,True
No no. I will check all rooms befor activities,ham,ham,True
You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text ,spam,ham,False
Got c... I lazy to type... I forgot ü in lect... I saw a pouch but like not v ni,ham,ham,True
"K, text me when you're on the way",ham,ham,True
"Sir, Waiting for your mail.",ham,ham,True
"A swt thought: ""Nver get tired of doing little things 4 lovable persons.."" Coz..",ham,ham,True
I know you are. Can you pls open the back?,ham,ham,True
Yes see ya not on the dot,ham,ham,True
Whats the staff name who is taking class for us?,ham,ham,True
"FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live loc",spam,ham,False
Ummma.will call after check in.our life will begin from qatar so pls pray very h,ham,ham,True
K..i deleted my contact that why?,ham,ham,True
Sindu got job in birla soft ..,ham,ham,True
The wine is flowing and i'm i have nevering..,ham,ham,True
Yup i thk cine is better cos no need 2 go down 2 plaza mah.,ham,ham,True
Ok... Ur typical reply...,ham,ham,True
As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been ,ham,ham,True
"You are everywhere dirt, on the floor, the windows, even on my shirt. And someti",ham,ham,True
Aaooooright are you at work?,ham,ham,True
I'm leaving my house now...,ham,ham,True
"Hello, my love. What are you doing? Did you get to that interview today? Are you",ham,ham,True
Customer service annoncement. You have a New Years delivery waiting for you. Ple,spam,ham,False
You are a winner U have been specially selected 2 receive £1000 cash or a 4* hol,spam,ham,False
Keep yourself safe for me because I need you and I miss you already and I envy e,ham,ham,True
New car and house for my parents.:)i have only new job in hand:),ham,ham,True
I'm so in love with you. I'm excited each day i spend with you. You make me so h,ham,ham,True
-PLS STOP bootydelious (32/F) is inviting you to be her friend. Reply YES-434 or,spam,ham,False
BangBabes Ur order is on the way. U SHOULD receive a Service Msg 2 download UR c,spam,ham,False
I place all ur points on e cultures module already.,ham,ham,True
URGENT! We are trying to contact you. Last weekends draw shows that you have won,spam,spam,True
"Hi frnd, which is best way to avoid missunderstding wit our beloved one's?",ham,ham,True
Great escape. I fancy the bridge but needs her lager. See you tomo,ham,ham,True
Yes :)it completely in out of form:)clark also utter waste.,ham,ham,True
"Sir, I need AXIS BANK account no and bank address.",ham,ham,True
"Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to di",ham,ham,True
What time you coming down later?,ham,ham,True
"Bloody hell, cant believe you forgot my surname Mr . Ill give u a clue, its span",ham,ham,True
"Well, i'm gonna finish my bath now. Have a good...fine night.",ham,ham,True
Let me know when you've got the money so carlos can make the call,ham,ham,True
U still going to the mall?,ham,ham,True
Turns out my friends are staying for the whole show and won't be back til ~ &lt;,ham,ham,True
Text her. If she doesnt reply let me know so i can have her log in,ham,ham,True
Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with t,ham,ham,True
You lifted my hopes with the offer of money. I am in need. Especially when the e,ham,ham,True
Lol no. U can trust me.,ham,ham,True
ok. I am a gentleman and will treat you with dignity and respect.,ham,ham,True
"He will, you guys close?",ham,ham,True
Going on nothing great.bye,ham,ham,True
Hello handsome ! Are you finding that job ? Not being lazy ? Working towards get,ham,ham,True
"Haha awesome, be there in a minute",ham,ham,True
Please call our customer service representative on FREEPHONE 0808 145 4742 betwe,spam,spam,True
Have you got Xmas radio times. If not i will get it now,ham,ham,True
I jus reached home. I go bathe first. But my sis using net tell u when she finis,ham,ham,True
Are you unique enough? Find out from 30th August. www.areyouunique.co.uk,spam,ham,False
I'm sorry. I've joined the league of people that dont keep in touch. You mean a ,ham,ham,True
Hi :)finally i completed the course:),ham,ham,True
It will stop on itself. I however suggest she stays with someone that will be ab,ham,ham,True
How are you doing? Hope you've settled in for the new school year. Just wishin y,ham,ham,True
Gud mrng dear hav a nice day,ham,ham,True
Did u got that persons story,ham,ham,True
is your hamster dead? Hey so tmr i meet you at 1pm orchard mrt?,ham,ham,True
Hi its Kate how is your evening? I hope i can see you tomorrow for a bit but i h,ham,ham,True
"Found it, ENC  &lt;#&gt; , where you at?",ham,ham,True
I sent you  &lt;#&gt;  bucks,ham,ham,True
Hello darlin ive finished college now so txt me when u finish if u can love Kate,ham,ham,True
Your account has been refilled successfully by INR  &lt;DECIMAL&gt; . Your Keral,ham,ham,True
Goodmorning sleeping ga.,ham,ham,True
U call me alter at 11 ok.,ham,ham,True
Ü say until like dat i dun buy ericsson oso cannot oredi lar...,ham,ham,True
"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She ",ham,ham,True
"Aight yo, dats straight dogg",ham,ham,True
You please give us connection today itself before  &lt;DECIMAL&gt;  or refund th,ham,ham,True
Both :) i shoot big loads so get ready!,ham,ham,True
"What's up bruv, hope you had a great break. Do have a rewarding semester.",ham,ham,True
Home so we can always chat,ham,ham,True
K:)k:)good:)study well.,ham,ham,True
Yup... How ü noe leh...,ham,ham,True
Sounds great! Are you home now?,ham,ham,True
Finally the match heading towards draw as your prediction.,ham,ham,True
Tired. I haven't slept well the past few nights.,ham,ham,True
Easy ah?sen got selected means its good..,ham,ham,True
I have to take exam with march 3,ham,ham,True
Yeah you should. I think you can use your gt atm now to register. Not sure but i,ham,ham,True
Ok no prob. Take ur time.,ham,ham,True
There is os called ubandu which will run without installing in hard disk...you c,ham,ham,True
"Sorry, I'll call later",ham,ham,True
U say leh... Of course nothing happen lar. Not say v romantic jus a bit only lor,ham,ham,True
"500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours toda",spam,ham,False
Would really appreciate if you call me. Just need someone to talk to.,ham,ham,True
Will u meet ur dream partner soon? Is ur career off 2 a flyng start? 2 find out ,spam,ham,False
Hey company elama po mudyadhu.,ham,ham,True
Life is more strict than teacher... Bcoz Teacher teaches lesson &amp; then condu,ham,ham,True
Dear good morning now only i am up,ham,ham,True
Get down in gandhipuram and walk to cross cut road. Right side &lt;#&gt; street ,ham,ham,True
Dear we are going to our rubber place,ham,ham,True
"Sorry battery died, yeah I'm here",ham,ham,True
Yes:)here tv is always available in work place..,ham,ham,True
Text & meet someone sexy today. U can find a date or even flirt its up to U. Joi,spam,ham,False
I have printed it oh. So  &lt;#&gt;  come upstairs,ham,ham,True
Or ill be a little closer like at the bus stop on the same street,ham,ham,True
Where are you?when wil you reach here?,ham,ham,True
"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ",ham,ham,True
U 447801259231 have a secret admirer who is looking 2 make contact with U-find o,spam,ham,False
Tomarrow final hearing on my laptop case so i cant.,ham,ham,True
PLEASSSSSSSEEEEEE TEL ME V AVENT DONE SPORTSx,ham,ham,True
"Okay. No no, just shining on. That was meant to be signing, but that sounds bett",ham,ham,True
Although i told u dat i'm into baig face watches now but i really like e watch u,ham,ham,True
U don't remember that old commercial?,ham,ham,True
Too late. I said i have the website. I didn't i have or dont have the slippers,ham,ham,True
I asked you to call him now ok,ham,ham,True
Kallis wont bat in 2nd innings.,ham,ham,True
It didnt work again oh. Ok goodnight then. I.ll fix and have it ready by the tim,ham,ham,True
Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry,spam,ham,False
Ranjith cal drpd Deeraj and deepak 5min hold,ham,ham,True
"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d m",ham,ham,True
What you doing?how are you?,ham,ham,True
"Ups which is 3days also, and the shipping company that takes 2wks. The other way",ham,ham,True
"I'm back, lemme know when you're ready",ham,ham,True
Don't necessarily expect it to be done before you get back though because I'm ju,ham,ham,True
Mmm so yummy babe ... Nice jolt to the suzy,ham,ham,True
Where are you lover ? I need you ...,ham,ham,True
We tried to contact you re your reply to our offer of a Video Handset? 750 anyti,spam,ham,False
I‘m parked next to a MINI!!!! When are you coming in today do you think?,ham,ham,True
Yup,ham,ham,True
Anyway i'm going shopping on my own now. Cos my sis not done yet. Dun disturb u ,ham,ham,True
MY NO. IN LUTON 0125698789 RING ME IF UR AROUND! H*,ham,ham,True
Hey I am really horny want to chat or see me naked text hot to 69698 text charge,spam,ham,False
Why you Dint come with us.,ham,ham,True
Same. Wana plan a trip sometme then,ham,ham,True
"Not sure yet, still trying to get a hold of him",ham,ham,True
Ur ringtone service has changed! 25 Free credits! Go to club4mobiles.com to choo,spam,spam,True
The evo. I just had to download flash. Jealous?,ham,ham,True
Ringtone Club: Get the UK singles chart on your mobile each week and choose any ,spam,spam,True
"Come to mu, we're sorting out our narcotics situation",ham,spam,False
"Night has ended for another day, morning has come in a special way. May you smil",ham,ham,True
HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 ea,spam,ham,False
"Usf I guess, might as well take 1 car",ham,ham,True
No objection. My bf not coming.,ham,ham,True
Thanx...,ham,ham,True
Tell rob to mack his gf in the theater,ham,ham,True
"Awesome, I'll see you in a bit",ham,ham,True
Just sent it. So what type of food do you like?,ham,ham,True
All done? All handed in? Celebrations in full swing yet?,ham,ham,True
You got called a tool?,ham,ham,True
"""Wen u miss someone, the person is definitely special for u..... But if the pers",ham,ham,True
Ok. I asked for money how far,ham,ham,True
Okie...,ham,ham,True
"Yeah I think my usual guy's still passed out from last night, if you get ahold o",ham,ham,True
"K, I might come by tonight then if my class lets out early",ham,ham,True
Ok..,ham,ham,True
hi baby im cruisin with my girl friend what r u up 2? give me a call in and hour,ham,ham,True
"My life Means a lot to me, Not because I love my life, But because I love the pe",ham,ham,True
"Dear,shall mail tonite.busy in the street,shall update you tonite.things are loo",ham,ham,True
Hey you told your name to gautham ah?,ham,ham,True
Haf u found him? I feel so stupid da v cam was working.,ham,ham,True
Oops. 4 got that bit.,ham,ham,True
Are you this much buzy,ham,ham,True
I accidentally deleted the message. Resend please.,ham,ham,True
T-Mobile customer you may now claim your FREE CAMERA PHONE upgrade & a pay & go ,spam,ham,False
Unless it's a situation where YOU GO GURL would be more appropriate,ham,ham,True
Hurt me... Tease me... Make me cry... But in the end of my life when i die plz k,ham,ham,True
I cant pick the phone right now. Pls send a message,ham,ham,True
Need a coffee run tomo?Can't believe it's that time of week already,ham,ham,True
"Awesome, I remember the last time we got somebody high for the first time with d",ham,ham,True
"Shit that is really shocking and scary, cant imagine for a second. Def up for ni",ham,ham,True
Oh and by the way you do have more food in your fridge! Want to go out for a mea,ham,ham,True
He is a womdarfull actor,ham,ham,True
"SMS. ac Blind Date 4U!: Rodds1 is 21/m from Aberdeen, United Kingdom. Check Him ",spam,spam,True
Yup... From what i remb... I think should be can book...,ham,ham,True
Jos ask if u wana meet up?,ham,ham,True
Lol yes. Our friendship is hanging on a thread cause u won't buy stuff.,ham,ham,True
"TheMob> Check out our newest selection of content, Games, Tones, Gossip, babes a",spam,ham,False
Where are the garage keys? They aren't on the bookshelf,ham,ham,True
Today is ACCEPT DAY..U Accept me as? Brother Sister Lover Dear1 Best1 Clos1 Lvbl,ham,ham,True
"Think ur smart ? Win £200 this week in our weekly quiz, text PLAY to 85222 now!T",spam,ham,False
He says he'll give me a call when his friend's got the money but that he's defin,ham,ham,True
"Hi the way I was with u 2day, is the normal way&this is the real me. UR unique&I",ham,ham,True
You made my day. Do have a great day too.,ham,ham,True
K.k:)advance happy pongal.,ham,ham,True
"Hmmm... Guess we can go 4 kb n power yoga... Haha, dunno we can tahan power yoga",ham,ham,True
"Not really dude, have no friends i'm afraid :(",ham,ham,True
December only! Had your mobile 11mths+? You are entitled to update to the latest,spam,ham,False
"Coffee cake, i guess...",ham,ham,True
"Merry Christmas to you too babe, i love ya *kisses*",ham,ham,True
Hey... Why dont we just go watch x men and have lunch... Haha,ham,ham,True
cud u tell ppl im gona b a bit l8 cos 2 buses hav gon past cos they were full & ,ham,ham,True
That would be great. We'll be at the Guild. Could meet on Bristol road or somewh,ham,ham,True
No problem. How are you doing?,ham,ham,True
No calls..messages..missed calls,ham,ham,True
Hi da:)how is the todays class?,ham,ham,True
"I'd say that's a good sign but, well, you know my track record at reading women",ham,ham,True
"Cool, text me when you're parked",ham,ham,True
I'm reading the text i just sent you. Its meant to be a joke. So read it in that,ham,ham,True
K.k:)apo k.good movie.,ham,ham,True
Maybe i could get book out tomo then return it immediately ..? Or something.,ham,ham,True
Call Germany for only 1 pence per minute! Call from a fixed line via access numb,spam,ham,False
Any chance you might have had with me evaporated as soon as you violated my priv,ham,ham,True
Valentines Day Special! Win over £1000 in our quiz and take your partner on the ,spam,ham,False
"Ta-Daaaaa! I am home babe, are you still up ?",ham,ham,True
Cool. So how come you havent been wined and dined before?,ham,ham,True
Just sleeping..and surfing,ham,ham,True
"Sorry, I'll call later",ham,ham,True
U calling me right? Call my hand phone...,ham,ham,True
Ok that's great thanx a lot.,ham,ham,True
I take it the post has come then! You must have 1000s of texts now! Happy readin,ham,ham,True
Where u been hiding stranger?,ham,ham,True
Am not interested to do like that.,ham,ham,True
My sister cleared two round in birla soft yesterday.,ham,ham,True
Gudnite....tc...practice going on,ham,ham,True
Dis is yijue. I jus saw ur mail. In case huiming havent sent u my num. Dis is my,ham,ham,True
One small prestige problem now.,ham,ham,True
Fancy a shag? I do.Interested? sextextuk.com txt XXUK SUZY to 69876. Txts cost 1,spam,ham,False
Just checking in on you. Really do miss seeing Jeremiah. Do have a great month,ham,ham,True
"Nah can't help you there, I've never had an iphone",ham,ham,True
If you're not in my car in an hour and a half I'm going apeshit,ham,ham,True
"TODAY is Sorry day.! If ever i was angry with you, if ever i misbehaved or hurt ",ham,ham,True
Yo you guys ever figure out how much we need for alcohol? Jay and I are trying t,ham,ham,True
&lt;#&gt; ISH MINUTES WAS 5 MINUTES AGO. WTF.,ham,ham,True
Thank You for calling.Forgot to say Happy Onam to you Sirji.I am fine here and r,ham,ham,True
Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry,spam,ham,False
Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send CASH t,spam,spam,True
"I'm an actor. When i work, i work in the evening and sleep late. Since i'm unemp",ham,ham,True
"Hello! Just got here, st andrews-boy its a long way! Its cold. I will keep you p",ham,ham,True
Ha ha cool cool chikku chikku:-):-DB-),ham,ham,True
Oh ok no prob..,ham,ham,True
Check audrey's status right now,ham,ham,True
Busy here. Trying to finish for new year. I am looking forward to finally meetin,ham,ham,True
Good afternoon sunshine! How dawns that day ? Are we refreshed and happy to be a,ham,ham,True
Well i know Z will take care of me. So no worries.,ham,ham,True
"Update_Now - Xmas Offer! Latest Motorola, SonyEricsson & Nokia & FREE Bluetooth!",spam,ham,False
Here is your discount code RP176781. To stop further messages reply stop. www.re,spam,ham,False
Wat uniform? In where get?,ham,ham,True
"Cool, text me when you're ready",ham,ham,True
Hello my boytoy ... Geeee I miss you already and I just woke up. I wish you were,ham,ham,True
I will spoil you in bed as well :),ham,ham,True
I'm going for bath will msg you next  &lt;#&gt;  min..,ham,ham,True
I cant keep talking to people if am not sure i can pay them if they agree to pri,ham,ham,True
"Thanks for your Ringtone Order, Reference T91. You will be charged GBP 4 per wee",spam,ham,False
Can you say what happen,ham,ham,True
You could have seen me..i did't recognise you Face.:),ham,ham,True
Well there's not a lot of things happening in Lindsay on New years *sighs* Some ,ham,ham,True
Keep my payasam there if rinu brings,ham,ham,True
I taught that Ranjith sir called me. So only i sms like that. Becaus hes verifyi,ham,ham,True
I guess that's why you re worried. You must know that there's a way the body rep,ham,ham,True
"Yeah sure, give me a couple minutes to track down my wallet",ham,ham,True
Hey leave it. not a big deal:-) take care.,ham,ham,True
Hey i will be late ah... Meet you at 945+,ham,ham,True
"Double mins and txts 4 6months FREE Bluetooth on Orange. Available on Sony, Noki",spam,ham,False
It took Mr owl 3 licks,ham,ham,True
Customer place i will call you.,ham,ham,True
Mm that time you dont like fun,ham,ham,True
4mths half price Orange line rental & latest camera phones 4 FREE. Had your phon,spam,ham,False
Yup having my lunch buffet now.. U eat already?,ham,ham,True
Huh so late... Fr dinner?,ham,ham,True
Hey so this sat are we going for the intro pilates only? Or the kickboxing too?,ham,ham,True
Morning only i can ok.,ham,ham,True
Yes i think so. I am in office but my lap is in room i think thats on for the la,ham,ham,True
Pick you up bout 7.30ish? What time are  and that going?,ham,ham,True
From here after The performance award is calculated every two month.not for curr,ham,ham,True
Was actually sleeping and still might when u call back. So a text is gr8. You ro,ham,ham,True
You are always putting your business out there. You put pictures of your ass on ,ham,ham,True
"Good evening Sir, Al Salam Wahleykkum.sharing a happy news.By the grace of God, ",ham,ham,True
Hmmm...k...but i want to change the field quickly da:-)i wanna get system admini,ham,ham,True
FREE RINGTONE text FIRST to 87131 for a poly or text GET to 87131 for a true ton,spam,spam,True
Dear how is chechi. Did you talk to her,ham,ham,True
The hair cream has not been shipped.,ham,ham,True
None of that's happening til you get here though,ham,ham,True
"Yep, the great loxahatchee xmas tree burning of  &lt;#&gt;  starts in an hour",ham,ham,True
"Haha get used to driving to usf man, I know a lot of stoners",ham,ham,True
All was well until slightly disastrous class this pm with my fav darlings! Hope ,ham,ham,True
Hello! Good week? Fancy a drink or something later?,ham,ham,True
Headin towards busetop,ham,ham,True
Message:some text missing* Sender:Name Missing* *Number Missing *Sent:Date missi,ham,ham,True
Come by our room at some point so we can iron out the plan for this weekend,ham,ham,True
Cos i want it to be your thing,ham,ham,True
"Okies... I'll go yan jiu too... We can skip ard oso, go cine den go mrt one, bla",ham,ham,True
Bring home some Wendy =D,ham,ham,True
100 dating service cal;l 09064012103 box334sk38ch,spam,ham,False
Whatsup there. Dont u want to sleep,ham,ham,True
Alright i have a new goal now,ham,ham,True
FREE entry into our £250 weekly competition just text the word WIN to 80086 NOW.,spam,ham,False
"Alright, I'll head out in a few minutes, text me where to meet you",ham,ham,True
Send a logo 2 ur lover - 2 names joined by a heart. Txt LOVE NAME1 NAME2 MOBNO e,spam,ham,False
Yes:)from last week itself i'm taking live call.,ham,ham,True
Someone has contacted our dating service and entered your phone because they fan,spam,ham,False
Siva is in hostel aha:-.,ham,ham,True
URGENT! Your Mobile number has been awarded with a £2000 prize GUARANTEED. Call ,spam,spam,True
Send this to ur friends and receive something about ur voice..... How is my spea,ham,ham,True
Ok. She'll be ok. I guess,ham,ham,True
aathi..where are you dear..,ham,ham,True
Any pain on urination any thing else?,ham,ham,True
7 at esplanade.. Do ü mind giving me a lift cos i got no car today..,ham,ham,True
I wnt to buy a BMW car urgently..its vry urgent.but hv a shortage of  &lt;#&gt; ,ham,ham,True
At home watching tv lor.,ham,ham,True
Does she usually take fifteen fucking minutes to respond to a yes or no question,ham,ham,True
Congrats! Nokia 3650 video camera phone is your Call 09066382422 Calls cost 150p,spam,spam,True
Booked ticket for pongal?,ham,ham,True
You available now? I'm like right around hillsborough &amp;  &lt;#&gt; th,ham,ham,True
The message sent is askin for  &lt;#&gt; dollars. Shoul i pay  &lt;#&gt;  or  &l,ham,ham,True
"Ask g or iouri, I've told the story like ten times already",ham,ham,True
How long does applebees fucking take,ham,ham,True
